 825302 513594  183.25539   63   15  184.70000  166.15187  10.0%  32.4 1400s
 828704 515500  177.82917   66   15  184.70000  166.16192  10.0%  32.4 1405s
 831933 517306  181.42083   69   12  184.70000  166.17153  10.0%  32.4 1410s
 835249 519070  180.21959   61   13  184.70000  166.18289  10.0%  32.4 1415s
 838693 520924  180.79583   60   19  184.70000  166.19375  10.0%  32.4 1420s
 842020 522640  171.67536   57   11  184.70000  166.20465  10.0%  32.3 1425s
 845177 524404  170.27999   55   15  184.70000  166.21422  10.0%  32.3 1430s
 848677 526331     cutoff   69       184.70000  166.22500  10.0%  32.3 1435s
 851793 528041  169.77909   61   14  184.70000  166.23718  10.0%  32.3 1440s
 855177 529905  178.87857   71   17  184.70000  166.24687  10.0%  32.3 1445s
 858466 531679  180.11394   71   17  184.70000  166.25788  10.0%  32.3 1450s
 861648 533477  174.26480   59   14  184.70000  166.26836  10.0%  32.3 1455s
 865085 535371  171.73584   62   23  184.70000  166.28141  10.0%  32.3 1460s
 868396 537185  180.87039   73    9  184.70000  166.29286  10.0%  32.3 1465s
 871570 538913  174.67150   58   17  184.70000  166.30310  10.0%  32.3 1470s
 875007 540750  180.57531   66   14  184.70000  166.31389  10.0%  32.3 1475s
 878357 542572  179.76250   62   18  184.70000  166.32518  9.95%  32.2 1480s
 881693 544347  179.93280   63   14  184.70000  166.33590  9.94%  32.2 1485s
 885125 546180  183.88696   67   15  184.70000  166.34583  9.94%  32.2 1490s
 888366 547968     cutoff   66       184.70000  166.35777  9.93%  32.2 1495s
 891530 549640     cutoff   75       184.70000  166.36571  9.93%  32.2 1500s
 894769 551435  171.27444   59   19  184.70000  166.37484  9.92%  32.2 1505s
 898027 553195  177.16217   63   11  184.70000  166.38467  9.92%  32.2 1510s
 901142 554835  177.20278   62    9  184.70000  166.39564  9.91%  32.2 1515s
 904660 556728  183.65437   63   24  184.70000  166.40548  9.90%  32.2 1520s
 907989 558548     cutoff   86       184.70000  166.41594  9.90%  32.2 1525s
 911377 560367  178.79679   58   13  184.70000  166.42721  9.89%  32.2 1530s
 914692 562153  175.05978   57   17  184.70000  166.43665  9.89%  32.2 1535s
 917934 563888  179.96850   60   13  184.70000  166.44740  9.88%  32.2 1540s
 921238 565584  176.31224   61   19  184.70000  166.45729  9.88%  32.2 1545s
 924658 567419  180.73954   68   14  184.70000  166.46609  9.87%  32.2 1550s
 927788 569027  182.04141   65   16  184.70000  166.47601  9.87%  32.2 1555s
 931198 570919  173.56566   56   17  184.70000  166.48569  9.86%  32.1 1560s
 934387 572690  171.81389   64   10  184.70000  166.49583  9.86%  32.1 1565s
 937577 574414  169.90888   56   22  184.70000  166.50608  9.85%  32.1 1570s
 940826 576064  177.79864   66   12  184.70000  166.51499  9.85%  32.1 1575s
 944177 577913  181.05570   62   11  184.70000  166.52520  9.84%  32.1 1580s
 947405 579628  180.25625   66   10  184.70000  166.53637  9.83%  32.1 1585s
 950670 581360  174.48000   63   14  184.70000  166.54522  9.83%  32.1 1590s
 954083 583187  177.77292   71    9  184.70000  166.55444  9.82%  32.1 1595s
 957529 585019  172.30178   56   19  184.70000  166.56550  9.82%  32.1 1600s
 960867 586711  182.17936   67   15  184.70000  166.57561  9.81%  32.1 1605s
 964195 588505  177.02822   64   16  184.70000  166.58472  9.81%  32.1 1610s
 967411 590199  171.18720   44   16  184.70000  166.59574  9.80%  32.1 1615s
 970735 592021  177.10417   70   10  184.70000  166.60495  9.80%  32.1 1620s
 974199 593926  175.91771   59   15  184.70000  166.61537  9.79%  32.0 1625s
 977303 595563  179.68711   56   18  184.70000  166.62572  9.79%  32.0 1630s
 980803 597465  171.47562   50   21  184.70000  166.63609  9.78%  32.0 1635s
 984122 599175     cutoff   59       184.70000  166.64621  9.77%  32.0 1640s
 987216 600792  173.30242   53   21  184.70000  166.65625  9.77%  32.0 1645s
 990532 602569  167.70623   49   24  184.70000  166.66580  9.76%  32.0 1650s
