Rodando pra 1h

Optimize a model with 229 rows, 245 columns and 5779 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+04]
  Objective range [2e-01, 2e-01]
  Bounds range    [1e+00, 1e+04]
  RHS range       [1e+00, 1e+04]
Presolve removed 24 rows and 4 columns
Presolve time: 0.01s
Presolved: 205 rows, 241 columns, 4667 nonzeros
Variable types: 90 continuous, 151 integer (145 binary)
Found heuristic solution: objective 512.0010240
Found heuristic solution: objective 491.5009830

Root relaxation: objective 0.000000e+00, 63 iterations, 0.00 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0   29  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   40  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   38  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   36  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   35  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   42  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   37  491.50098    0.00000   100%     -    0s
     0     0    0.00000    0   30  491.50098    0.00000   100%     -    0s
H    0     0                     452.6675720    0.00000   100%     -    0s
     0     0    0.00000    0   31  452.66757    0.00000   100%     -    0s
     0     0    0.00000    0   30  452.66757    0.00000   100%     -    0s
H    0     0                     413.1674930    0.00000   100%     -    0s
     0     0    0.00000    0   30  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   28  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   33  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   32  413.16749    0.00000   100%     -    0s
     0     0    0.00000    0   29  413.16749    0.00000   100%     -    0s
     0     2    0.00000    0   29  413.16749    0.00000   100%     -    0s
 1322856 881097  269.13703   54   14  338.16734  149.89529  55.7%  14.6  895s
 1330108 885915  214.95070   42   19  338.16734  149.94917  55.7%  14.6  900s
 1336525 890140  207.14691   40   17  338.16734  150.00774  55.6%  14.6  905s
 1343956 895022  248.64931   38   17  338.16734  150.07231  55.6%  14.6  910s
 1351396 899845  254.77544   48   15  338.16734  150.13687  55.6%  14.6  915s
 1358645 904540  210.33375   47    7  338.16734  150.18959  55.6%  14.6  920s
 1365793 909219  160.35945   31   29  338.16734  150.24208  55.6%  14.6  925s
 1373008 913981  165.36686   51   32  338.16734  150.30572  55.6%  14.6  930s
 1380364 918876  230.91357   39   15  338.16734  150.38246  55.5%  14.6  935s
 1387376 923478  267.08916   46   19  338.16734  150.45947  55.5%  14.6  940s
 1394333 927972  237.56426   57   17  338.16734  150.51555  55.5%  14.6  945s
 1401619 932706  200.98774   48   28  338.16734  150.58384  55.5%  14.6  950s
 1408587 937288     cutoff   63       338.16734  150.64022  55.5%  14.6  955s
 1416213 942294  259.70479   55   17  338.16734  150.69628  55.4%  14.6  960s
 1423519 947072     cutoff   74       338.16734  150.76267  55.4%  14.6  965s
 1430566 951748  283.10271   45   14  338.16734  150.82522  55.4%  14.6  970s
 1438482 956990     cutoff   63       338.16734  150.87746  55.4%  14.6  975s
 1445752 961703  323.77046   61   15  338.16734  150.90706  55.4%  14.6  980s
 1452926 966483  309.33395   55    4  338.16734  150.95099  55.4%  14.6  985s
 1459938 971014  154.26615   39   26  338.16734  151.01424  55.3%  14.6  990s
 1467602 976091  206.43925   43   16  338.16734  151.08418  55.3%  14.6  995s
 1474596 980702  207.11109   39   18  338.16734  151.14527  55.3%  14.6 1000s
 1481869 985421  225.85359   48   14  338.16734  151.20661  55.3%  14.6 1005s
 1488757 990087  191.77339   40   22  338.16734  151.25738  55.3%  14.6 1010s
 1496150 994872  210.62048   44   16  338.16734  151.31686  55.3%  14.6 1015s
 1503346 999596  255.06900   52   25  338.16734  151.36986  55.2%  14.6 1020s
 1510775 1004413  159.26802   38   35  338.16734  151.43229  55.2%  14.6 1025s
 1518424 1009346  315.29524   60   15  338.16734  151.48493  55.2%  14.5 1030s
 1525772 1014119  298.64903   52   13  338.16734  151.53522  55.2%  14.5 1035s
 1533284 1019081  203.32317   49   21  338.16734  151.59228  55.2%  14.5 1040s
 1540285 1023683  267.55059   57   14  338.16734  151.64512  55.2%  14.6 1045s
 1547246 1028263  265.37935   62   23  338.16734  151.69995  55.1%  14.6 1050s
 1554350 1032886     cutoff   62       338.16734  151.75773  55.1%  14.6 1055s
 1561743 1037631  208.74521   50   17  338.16734  151.81429  55.1%  14.6 1060s
 1569156 1042478  250.35400   62   17  338.16734  151.84868  55.1%  14.6 1065s
 1576552 1047301  336.83974   55    7  338.16734  151.90333  55.1%  14.6 1070s
 1583775 1052033  252.14033   53   14  338.16734  151.94668  55.1%  14.6 1075s
 1590577 1056465  236.73427   49   19  338.16734  151.99527  55.1%  14.6 1080s
 1597964 1061247  289.00058   50    5  338.16734  152.04714  55.0%  14.6 1085s
 1605250 1066074  249.13984   51   15  338.16734  152.08946  55.0%  14.6 1090s
 1612799 1070999  219.19160   35   22  338.16734  152.13445  55.0%  14.6 1095s
 1619874 1075602     cutoff   65       338.16734  152.19577  55.0%  14.6 1100s
 1627435 1080541  304.82384   55   12  338.16734  152.26410  55.0%  14.6 1105s
 1634093 1084872  189.56470   39   25  338.16734  152.32453  55.0%  14.6 1110s
 1641281 1089535  216.51877   38   16  338.16734  152.36815  54.9%  14.6 1115s
 1648624 1094401  153.87789   32   29  338.16734  152.40808  54.9%  14.6 1120s
 1655923 1099128  162.00963   47   25  338.16734  152.45726  54.9%  14.6 1125s
 1663628 1104067  304.77432   63   13  338.16734  152.52393  54.9%  14.6 1130s
 1670550 1108697  178.84779   42   21  338.16734  152.57025  54.9%  14.6 1135s
 1677990 1113600  283.34460   57   15  338.16734  152.62649  54.9%  14.5 1140s
 1685682 1118642  266.90053   44   13  338.16734  152.68653  54.8%  14.5 1145s
 1692985 1123320  207.46720   52   22  338.16734  152.72431  54.8%  14.5 1150s
 1700740 1128416  187.80997   35   28  338.16734  152.76685  54.8%  14.5 1155s
 1708176 1133307  244.41469   54   18  338.16734  152.80932  54.8%  14.5 1160s
 1715728 1138184  328.03385   57   13  338.16734  152.86211  54.8%  14.5 1165s
 1723325 1143212  231.71514   45   18  338.16734  152.90340  54.8%  14.5 1170s
 1730597 1147795  296.77462   54   11  338.16734  152.94946  54.8%  14.5 1175s
 1738001 1152657  219.00044   45   12  338.16734  153.00031  54.8%  14.5 1180s
 1745027 1157250  215.47785   38   25  338.16734  153.04396  54.7%  14.5 1185s
 1752250 1161939  334.24283   54   16  338.16734  153.09814  54.7%  14.5 1190s
